source,destination,bytes,sha256,notes
Untitled30.ipynb,needs_review/notebooks/Untitled30.ipynb,175636,256995993082ebb55b7b98315703db63283519ec6b62672f7a6dd0cebb1a236c,Untitled: purpose/provenance needs review; original filename retained
Untitled35.ipynb,needs_review/notebooks/Untitled35.ipynb,475643,818e5715f18192153cb35b3e75cfd3b5c5c95d2ca5246d52854ddf3aabea8f16,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled4.ipynb,needs_review/notebooks/Untitled4.ipynb,618,48c6f30e6b32841aaed62ba47e46260a3c8b0dd724baf2f0874f20dacbbeb6de,Untitled: purpose/provenance needs review; original filename retained; Empty source cells; retained as supplied
Untitled40.ipynb,needs_review/notebooks/Untitled40.ipynb,3080,61b23e8b3826ea230c1b2e92c670c5091ca645d36b46b230ed4f06824a4356bb,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled5.ipynb,needs_review/notebooks/Untitled5.ipynb,826956,e07706d9d42d182d9cb77f54ce0fd984996b2db1d091efaa0038fc0b52341387,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled6.ipynb,needs_review/notebooks/Untitled6.ipynb,4921,fe603a982d3178f3b0f1e1f6492e515586655b21cda9c2b0a73af1c36a17b187,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled8.ipynb,needs_review/notebooks/Untitled8.ipynb,33786,f190b62197f5f8e2854b003db37bb6a1a77d97e01ec37b5374b4100309ef34d6,Untitled: purpose/provenance needs review; original filename retained
USGS Q timeseries downloader.ipynb,data_acquisition/notebooks/USGS Q timeseries downloader.ipynb,38753,fe3e773d0670f2752db7fb740c4b6485f8aa32b28dce61e4da26953eb47ea351,Embedded absolute paths retained
Violin plot for different drivers of compound flood.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Violin plot for different drivers of compound flood.ipynb,457601,4413f7fd4685d079c01898be9e98af89fd7bbfd12ae69f702699fc92075d109a,Embedded absolute paths retained
VLM Activation indicator activation area ratio.ipynb,compound_flood/drivers_and_sensitivity/notebooks/VLM Activation indicator activation area ratio.ipynb,6292,f6713c96ca3ccd30faed4a4dd54a7f71032f3c9eef4690a8e16d6ef3e4b95bb9,Embedded absolute paths retained
VLM data download.ipynb,data_acquisition/notebooks/VLM data download.ipynb,6357,e00e8b26a75f2c4a53e5c163bb35d32b382efbd3048a630ed3211947dcd8dcdd,Embedded absolute paths retained
Water depth-exceedance curve.ipynb,compound_flood/inundation_and_comparison/notebooks/Water depth-exceedance curve.ipynb,2736637,0bfc5261674428747e8260af951d0630cfee6c8a1483f379704ac5d78db898e6,Embedded absolute paths retained
Wave attenuation footprint area.ipynb,wave_reef/notebooks/Wave attenuation footprint area.ipynb,961359,02e5ca2c94e3549c57396fbe0d70ff6bee1ad1361d4b2c259981889c080ed608,Embedded absolute paths retained
Wave data download.ipynb,data_acquisition/notebooks/Wave data download.ipynb,102939,b571c9d6c590c4b81045ea0f3a2aae517ce5b3c8b80a03cf28b99a8416dbc4c0,Embedded absolute paths retained
wave energy density spectrum plot.ipynb,wave_reef/notebooks/wave energy density spectrum plot.ipynb,291168,98b8b21ee078cdc38bdcd5f57b72856e15668e6fd7e0085f17d8e93e20e66e6d,Embedded absolute paths retained
Wave energy dissipation.ipynb,wave_reef/notebooks/Wave energy dissipation.ipynb,159197,294e55e1fc0a7c2a091cf63b7fd446606da149a67960521e369553e1c2a7edfb,Embedded absolute paths retained
Wave energy vs frequency plot.ipynb,wave_reef/notebooks/Wave energy vs frequency plot.ipynb,159700,200ad5243b3f415cda24034a925086a1bf3389f9e21ab4f2e7574dce39e8b0bb,Embedded absolute paths retained
Wave gage timeseries comparison CFD.ipynb,cfd_reef/notebooks/Wave gage timeseries comparison CFD.ipynb,3369826,bfd38c3511365bab10ac914a331ad188957a3758ce706c3df24e768967b9052c,Embedded absolute paths retained
wave netcdf to dfs2.ipynb,wave_reef/notebooks/wave netcdf to dfs2.ipynb,207867,3e40cca2e4c1d1f1c097a987153c46860d88df067240c25d3fc83fe4cb6c91bd,Embedded absolute paths retained
wave power attenuation persistance.ipynb,wave_reef/notebooks/wave power attenuation persistance.ipynb,13209,fefa0440ef00d519faff0770ced24099d29a08543ff4c12b08737c590b6ced96,Embedded absolute paths retained
Wave power variation along time.ipynb,wave_reef/notebooks/Wave power variation along time.ipynb,1166203,d154d54cdc50fdc6943219800a51f407281dc09e23386589f3ff681f3ded3f43,Embedded absolute paths retained
Wave runup barchart.ipynb,wave_reef/notebooks/Wave runup barchart.ipynb,142342,9a577ed2f7c218568637edbb94ea513eaf30b57fb37b33e1a81781b1d36eb50f,Embedded absolute paths retained
Waverose wind rose and current rose.ipynb,wave_reef/notebooks/Waverose wind rose and current rose.ipynb,962276,36d1ebbcedf6dc5b4a322fd1e281d5b0eaff3b762e6c89a0f4443a8dc4b4321e,Embedded absolute paths retained
Wind netcdf to Dfs2.ipynb,mikeio_tools/forcing/notebooks/Wind netcdf to Dfs2.ipynb,218782,c9f72a75b0f19cd296ea14e5fa419448d06847181995c50bba960e878cbf33ce,Embedded absolute paths retained
Wind rose and wind data download.ipynb,data_acquisition/notebooks/Wind rose and wind data download.ipynb,317187,2a8bafdcccc52d679c4e18083296c9be9d1b5f21f89ff93462ff712a88936537,Embedded absolute paths retained
WL data download noaa HW-5 coastal engg.ipynb,coursework/undated/coastal_engineering/notebooks/WL data download noaa HW-5 coastal engg.ipynb,1052147,9c9ace1fb0e07901b6df58551e134a107f1636634165c548da137325792f6024,Course term not established; not labeled Fall 2026; Embedded absolute paths retained
xyz file changing z value.ipynb,gis_processing/mesh_and_bathymetry/notebooks/xyz file changing z value.ipynb,1780,0d1cb454fc5d94723afe41bb39216b69e515b90a29d31d6f084027ced0a0278d,Embedded absolute paths retained
